Make,Model,Buyer Gender,Buyer Age,Country,City,Color,New Car,Purchase Date,Sale Price,Resell Price,5-yr Depreciation,Top Speed,0-60 Time
Toyota,Tundra,Female,28,China,Dongying,Indigo,TRUE,07/05/2012,64447.56,19237.54,0.06,233.6,5.7
Hyundai,Tiburon,Female,62,Indonesia,Rerawere,Aquamarine,TRUE,02/02/2002,86355.42,42229.02,0.04,155,3.5
Audi,A6,Female,63,China,Liji,Crimson,TRUE,24/03/2005,11158.42,42981.45,0.01,157.3,11
Ford,Excursion,Female,59,Poland,Tuplice,Aquamarine,TRUE,18/05/2011,24700.77,34628.73,0.04,160.6,9.2
Acura,TSX,Male,62,Brazil,Medina,Crimson,FALSE,24/05/2007,21557,9408.88,0.02,199.4,2.7
Hyundai,Tucson,Female,28,Indonesia,Sukamahi Satu,Pink,TRUE,13/01/2004,17684.21,34201.85,0.03,235.3,11.4
Isuzu,Trooper,Male,57,Japan,Maizuru,Khaki,FALSE,05/05/2014,47355.3,26975.23,0.02,122.1,5.5
Isuzu,Oasis,Male,22,Democratic Republic of the Congo,Yangambi,Puce,FALSE,25/01/2006,64077.86,28897.38,0.07,148.6,12.1
Audi,A4,Male,39,Brazil,Cajati,Mauv,TRUE,28/07/2004,37711.24,42479.06,0.16,135.2,8.7
Ford,Escort,Female,22,Indonesia,Simo Satu,Fuscia,FALSE,24/02/2019,40083.78,29352.99,0.18,159.6,14.1
Porsche,Boxster,Female,52,Brazil,Santo Antônio do Amparo,Purple,FALSE,05/11/2002,92260.42,39051.5,0.2,223.1,12.5
Chevrolet,Metro,Female,44,United States,Charlottesville,Teal,TRUE,07/06/2004,99932.74,42046.29,0.2,148.4,13.2
Nissan,300ZX,Male,27,Portugal,Ponta Delgada,Indigo,TRUE,08/02/2004,44721.8,15128.85,0.23,166.5,9.6
Pontiac,Grand Prix,Female,21,Colombia,Curumaní,Teal,TRUE,05/12/2008,21324.65,30445.95,0.02,184.3,12.1
BMW,5 Series,Female,66,France,Villeneuve-la-Garenne,Pink,FALSE,23/12/2018,45079.17,29558.66,0.14,198.5,3.8
Cadillac,Escalade EXT,Male,52,Philippines,Linan,Orange,TRUE,19/09/2005,94911.48,48199.38,0.16,171.7,6.1
Chevrolet,2500,Female,74,Brazil,Cambuí,Purple,TRUE,03/06/2009,51212.51,32947.09,0.18,226.8,3.5
Chevrolet,Camaro,Male,45,Dominican Republic,Villa Consuelo,Yellow,TRUE,24/04/2004,54969.42,42474.58,0.04,172.2,2.9
Chevrolet,Caprice,Female,30,France,Laon,Goldenrod,TRUE,22/06/2016,21897.92,25935.85,0.14,188.9,7.1
Buick,Century,Male,35,Brazil,Sinop,Fuscia,FALSE,25/12/2006,46833.23,22286.11,0.14,182.7,3.2
BMW,3 Series,Male,70,Pakistan,Karaundi,Mauv,TRUE,05/03/2014,67919.73,12020.61,0.23,202.6,7.1
Dodge,Colt,Male,46,Philippines,Mababanaba,Violet,TRUE,30/07/2013,93291.12,13004.28,0.2,237.3,13.8
Eagle,Vision,Male,60,Finland,Tuusniemi,Violet,TRUE,31/07/2006,31989.71,38598.74,0.02,156.4,2.1
Buick,Electra,Male,38,Poland,Paprotnia,Maroon,FALSE,04/05/2017,10786.86,28113.1,0.11,213.5,6.1
Ford,Mustang,Male,57,United States,Jamaica,Maroon,FALSE,13/11/2005,59800.39,48179.77,0.15,166.4,5.6
Lincoln,MKX,Male,43,China,Huaqiu,Violet,TRUE,21/07/2011,71667.73,39049.26,0.02,141.1,2.4
Isuzu,i-280,Male,61,Sweden,Hallstavik,Mauv,TRUE,16/11/2006,71025.35,7858.77,0.17,200.8,11.4
BMW,7 Series,Female,34,Philippines,Mabini,Green,FALSE,10/06/2012,30629.86,12226.17,0.17,168.6,7.7
Dodge,Intrepid,Female,42,Russia,Shilovo,Crimson,FALSE,26/12/2010,84060.44,30459.2,0.24,182.8,14.4
Pontiac,Firebird,Female,36,Somalia,Marka,Fuscia,TRUE,16/01/2013,52424.28,5808.23,0.05,237.7,13.5
Suzuki,Samurai,Male,27,Portugal,Malhou,Red,FALSE,20/05/2013,43992.82,27127.65,0.18,150.8,7.8
Dodge,Grand Caravan,Male,40,Saudi Arabia,Al Khafjī,Purple,FALSE,20/12/2017,42520.65,13357.38,0.01,185.6,14.4
Audi,90,Male,34,Ukraine,Nelipyno,Indigo,FALSE,06/07/2009,73053.89,46875.86,0.11,180.7,5.1
Suzuki,Aerio,Female,40,Iran,Kahrīz,Orange,TRUE,27/02/2013,30534.15,31053.52,0.22,170.6,14.4
Honda,Insight,Male,40,Liberia,Gbarnga,Aquamarine,TRUE,30/07/2019,57313.11,45140.7,0.03,135.9,5.1
Nissan,Quest,Female,20,Lithuania,Zarasai,Blue,TRUE,17/09/2013,46843.72,6166.44,0.19,134,2.4
Mazda,Familia,Male,70,China,Xianren,Violet,TRUE,05/05/2015,72854.45,26577.26,0.06,147,12.7
Volkswagen,Rabbit,Male,29,Nigeria,Orlu,Crimson,TRUE,18/01/2020,64692.75,31672.86,0.13,176.8,5.4
Acura,Legend,Male,40,Indonesia,Darmasari,Red,TRUE,27/07/2016,80069.46,41645.79,0.23,134.7,10.4
Lexus,GS,Female,60,Mexico,Dante Delgado,Red,TRUE,19/08/2009,19788.82,44786.51,0.18,122.6,9.7
Chevrolet,Equinox,Male,41,Netherlands,Geldrop,Red,FALSE,08/03/2005,21886.49,12143.34,0.11,231.6,11.2
Lexus,IS F,Male,31,China,Liyang,Crimson,TRUE,18/05/2019,33538.96,33663.88,0.18,183,14
Chevrolet,Cobalt SS,Female,52,United States,Sparks,Puce,FALSE,22/10/2018,63431.82,49445.89,0.25,204.4,12.5
Mazda,Protege,Male,24,United States,Schaumburg,Aquamarine,FALSE,20/05/2004,83654.1,8201.21,0.23,182.5,4.2
Oldsmobile,Achieva,Female,27,Indonesia,Tegalloa,Goldenrod,TRUE,09/08/2002,76504.72,32481.17,0.2,213.1,10.4
Ford,Explorer Sport Trac,Female,41,Thailand,Sop Pong,Fuscia,FALSE,22/02/2010,76362.35,17889.01,0.11,213.9,10.3
Porsche,911,Female,43,Russia,Votkinsk,Indigo,TRUE,07/11/2008,15385.68,22246.09,0.15,123.5,8.7
Toyota,T100,Male,20,Russia,Nagutskoye,Crimson,FALSE,18/03/2020,66905.49,39975.46,0.05,247,7.3
Chevrolet,Suburban 1500,Male,59,Indonesia,Tajur,Turquoise,FALSE,25/04/2009,49313.89,24933.15,0.16,130.8,7.1
Mazda,B-Series Plus,Female,59,Brazil,Forquilhinha,Mauv,FALSE,13/01/2013,43855.15,3771.03,0.19,211.9,12.7
Ford,Expedition EL,Male,22,Indonesia,Warmare,Blue,TRUE,24/11/2007,18755.64,24268.84,0.23,228.4,3.5
GMC,Sonoma Club Coupe,Male,26,Ukraine,Haysyn,Purple,TRUE,06/04/2009,33833.41,44439.74,0.22,202.9,9.5
Saab,09-May,Female,29,Kuwait,Al Funayţīs,Crimson,FALSE,15/08/2008,61144.71,26429.54,0.13,171.5,11.8
Dodge,Caliber,Female,52,Russia,Krasnyy Oktyabr’,Crimson,TRUE,02/10/2020,65848.79,36980.88,0.1,132.8,4.1
Ford,Mustang,Female,65,China,Bao’an,Khaki,FALSE,11/09/2020,91792.53,32226.33,0.07,196,6.1
Nissan,370Z,Female,68,Sweden,Göteborg,Turquoise,FALSE,14/03/2010,45095.58,6712.4,0.22,199.4,13.4
Mitsubishi,Cordia,Male,34,Finland,Saukkola,Khaki,TRUE,04/10/2018,15056.31,45802.39,0.12,171.9,4.2
Volvo,960,Female,68,Brazil,Guararapes,Mauv,FALSE,24/01/2010,56659.45,4977.37,0.05,173,12.3
Ford,Expedition,Female,38,Lithuania,Skuodas,Pink,FALSE,29/08/2020,17935.32,17820.1,0.12,246.7,5.4
Audi,A3,Female,20,Czech Republic,Vojkovice,Violet,FALSE,23/12/2012,79066.06,33959.81,0.21,192.3,3.5
Mazda,323,Male,66,Spain,Telde,Khaki,TRUE,23/10/2014,26993.08,20429.47,0.03,161.2,12.8
Lexus,IS F,Female,61,Armenia,Angeghakot’,Pink,TRUE,12/09/2010,72703.81,48323.44,0.18,130.3,6.5
Dodge,Ram Van B350,Female,49,Brazil,Tupã,Green,TRUE,15/01/2014,59340.7,28541.97,0.18,204.1,9.3
Honda,Civic,Male,64,China,Guanshan,Violet,TRUE,09/06/2012,67684.83,6983.38,0.18,132.8,5.9
Ferrari,F430,Female,40,Brazil,Araras,Orange,TRUE,07/04/2019,99795.06,6162.7,0.09,220.8,14.9
Nissan,Pathfinder,Female,51,Czech Republic,Kryry,Khaki,FALSE,14/08/2012,91938.51,4627.46,0.14,234.5,10.9
Toyota,Echo,Male,46,Chile,Puente Alto,Aquamarine,TRUE,05/11/2017,59161.45,16029.82,0.21,238.1,8
Mazda,Mazda6,Male,62,Indonesia,Sidaharja,Yellow,TRUE,23/07/2010,62439.84,45379.74,0.01,142.4,14.7
Chevrolet,Avalanche,Male,44,Austria,Zwettl,Blue,FALSE,29/09/2013,35270.29,20925.14,0.07,215.1,2.2
Chevrolet,Tracker,Male,53,Brazil,Blumenau,Mauv,FALSE,02/12/2018,80557.5,31739.84,0.18,196.4,12.1
Saab,09-Mar,Female,50,Philippines,Barili,Aquamarine,FALSE,30/09/2019,29292.22,9772.26,0.06,165.6,6.7
Mazda,RX-8,Female,66,Brazil,Louveira,Purple,TRUE,28/02/2014,91466.61,39765.15,0.15,247.3,3.3
Volkswagen,rio,Male,40,Tanzania,Nungwi,Fuscia,FALSE,03/01/2017,97329.38,9652.05,0.14,123.8,13.6
Acura,NSX,Male,63,Philippines,Calibungan,Violet,TRUE,14/06/2003,68084.48,11562.49,0.22,236.7,3.2
Dodge,Ram,Male,26,Thailand,San Kamphaeng,Blue,TRUE,23/04/2019,15402.77,48057.05,0.2,125.1,8.5
Buick,Riviera,Male,37,Indonesia,Selat,Pink,TRUE,20/03/2013,54312.9,16311.59,0.2,236.4,14.1
Aston Martin,V8 Vantage,Male,52,Taiwan,Taitung City,Red,TRUE,14/03/2013,92010.07,26286.77,0.21,162.8,9
Chevrolet,Express 2500,Female,55,Russia,Danilov,Purple,FALSE,02/01/2015,41482.96,5080.01,0.19,164.5,12.1
Chevrolet,Camaro,Male,31,Poland,Blizne,Khaki,FALSE,20/02/2002,34975.88,12318.09,0.12,242.4,8.8
Suzuki,SJ,Male,38,Russia,Fershampenuaz,Violet,TRUE,28/10/2005,42299.72,45406.77,0.06,222.3,15
Infiniti,Q,Female,49,France,Évreux,Crimson,TRUE,06/11/2009,25168.81,29051.07,0.22,244.6,5.3
Hummer,H3T,Male,34,Japan,Suibara,Green,TRUE,03/08/2006,52078.89,24153.76,0.04,241.7,3.6
Mercedes-Benz,E-Class,Male,36,Chile,Puerto Aisén,Red,TRUE,16/06/2014,60962.4,9213.44,0.25,172.6,12.7
GMC,Yukon XL 2500,Female,43,Russia,Vyatskiye Polyany,Red,FALSE,26/02/2015,91676.97,33003.62,0.14,225.1,8.6
Aptera,Typ-1,Male,46,China,Shunhe,Mauv,TRUE,05/03/2014,78518.06,47503.21,0.07,169.1,7.9
Isuzu,Ascender,Male,69,Thailand,Loei,Blue,FALSE,05/05/2008,38862.61,30252.96,0.06,208.2,3.2
Suzuki,SJ,Male,27,Thailand,Bang Racham,Puce,TRUE,14/10/2004,20420.21,37617.87,0.02,205.5,13.2
Ford,F250,Male,65,Indonesia,Wangi,Teal,TRUE,24/12/2015,79706.72,13272.56,0.21,141.4,7.2
Ford,Probe,Male,72,Japan,Minamata,Fuscia,FALSE,01/04/2014,42106.93,41418.41,0.07,210.2,10.1
GMC,Sonoma,Female,69,Bolivia,Arani,Yellow,FALSE,30/07/2019,53666.09,42068.11,0.05,133.3,11.4
BMW,Z4 M,Male,35,Indonesia,Sidenreng,Khaki,FALSE,10/06/2015,61057.4,16320.2,0.01,224.5,2.6
Ford,Probe,Female,51,Portugal,Dafundo,Khaki,FALSE,19/05/2002,45056.78,17074.89,0.22,193.9,3.7
Ford,Explorer Sport,Male,27,Poland,Ursus,Pink,FALSE,06/06/2006,76690.26,28531.83,0.15,213.6,12.1
Infiniti,G,Female,71,Indonesia,Leuwihalang,Green,TRUE,09/09/2002,50949.57,5469.66,0.15,223.3,14
BMW,5 Series,Male,70,Thailand,Ban Na,Orange,TRUE,16/08/2018,42044.17,33118.99,0.18,206.8,9.4
Pontiac,Tempest,Male,31,France,Boulogne-Billancourt,Mauv,TRUE,25/05/2004,88932.88,32139.98,0.06,210,9.8
Ford,Taurus,Male,40,United States,Jefferson City,Maroon,FALSE,04/10/2014,92891.53,24141.23,0.06,175.1,3.1
Volkswagen,Passat,Female,60,Brazil,Barretos,Maroon,FALSE,25/09/2003,79073.81,8675.52,0.11,228,14.5
Dodge,Nitro,Female,49,Lithuania,Priekulė,Pink,TRUE,12/08/2003,58560.71,35161.1,0.18,217.8,14.2
GMC,Terrain,Female,39,Brazil,Barreiros,Green,FALSE,27/07/2015,36487.89,9204.51,0.11,195.5,13.4
Ford,F350,Male,70,Indonesia,Tanahmerah,Red,TRUE,12/04/2014,10336.19,19438.12,0.04,211.9,12.7
Subaru,Legacy,Male,29,Colombia,Fosca,Pink,TRUE,30/12/2015,94399.78,37800.17,0.17,215,11.9
Kia,Optima,Female,54,United States,San Diego,Crimson,FALSE,19/08/2003,92053.66,20844.55,0.06,153.1,10.2
Mercedes-Benz,W201,Female,39,China,Chunjiang,Aquamarine,TRUE,17/06/2016,90649.11,23033.15,0.15,229.7,7.1
Volkswagen,Passat,Female,21,China,Zhengji,Red,TRUE,05/07/2012,52817.54,47516.59,0.03,134.2,6.6
Dodge,Ram Van B350,Male,53,Indonesia,Karangtengah,Goldenrod,FALSE,02/07/2016,35662.77,10373.35,0.21,245.4,9.6
Ford,Club Wagon,Male,65,Russia,Sudzha,Goldenrod,FALSE,02/01/2018,20520.47,33983.92,0.03,219.4,4.2
Ford,Laser,Female,47,Indonesia,Pongkor,Blue,TRUE,06/11/2019,45072.13,23198.39,0.24,225.7,11.3
Mitsubishi,Cordia,Male,38,Argentina,Santiago del Estero,Red,TRUE,28/01/2003,68511.89,43939.04,0.02,242.9,3.9
Toyota,Celica,Male,40,Brazil,Anastácio,Orange,TRUE,24/01/2018,14283.95,40545.84,0.22,221.1,7.5
Mitsubishi,Mirage,Female,75,Portugal,Campanário,Maroon,FALSE,10/07/2011,82585.36,9051.43,0.09,245.8,8
Chevrolet,Tahoe,Male,73,Brazil,Paraguaçu Paulista,Maroon,TRUE,09/04/2003,79159.6,2269.54,0.2,219.4,4.7
Mercury,Villager,Male,65,Myanmar,Sittwe,Mauv,TRUE,27/01/2015,99756.7,28175.9,0.03,204.3,14.7
Chevrolet,Corsica,Male,66,Tunisia,Banī Khallād,Teal,TRUE,23/04/2013,72651,28060.46,0.08,123.5,2.7
Dodge,Ram Wagon B150,Male,52,China,Xinhua,Blue,FALSE,31/12/2017,92080.13,15914.08,0.25,145,2.6
Volkswagen,Passat,Male,22,Serbia,Gložan,Khaki,TRUE,06/06/2012,44399.06,20759.57,0.05,181.7,8.8
Saturn,S-Series,Female,22,China,Xugu,Khaki,FALSE,30/08/2016,53445.16,21782.77,0.05,129.9,6.2
Corbin,Sparrow,Female,56,Portugal,Ermidas do Sado,Mauv,FALSE,21/10/2003,13270.1,23699.97,0.24,239.7,9.2
Subaru,Impreza,Male,57,Indonesia,Riang Tengah,Orange,TRUE,09/05/2004,12059.53,39752.28,0.22,168.8,5.8
Mazda,Mazda2,Female,20,Russia,Beringovskiy,Aquamarine,TRUE,20/09/2003,65521.48,8509.29,0.11,205.8,6.7
GMC,Savana 3500,Female,25,Ukraine,Zachepylivka,Crimson,TRUE,28/12/2009,89750.87,13329.31,0.06,133.2,8.8
Toyota,Paseo,Male,66,Philippines,Esperanza,Indigo,TRUE,24/03/2019,92808.35,48053.01,0.16,230.9,2.5
Chevrolet,Colorado,Female,58,Sweden,Sundsvall,Khaki,TRUE,28/02/2009,77567.01,9523.17,0.19,164.5,2.6
Mercury,Sable,Female,27,Burundi,Cankuzo,Maroon,TRUE,24/10/2004,15910.98,17968.13,0.1,166.4,2.4
Ford,E-Series,Female,72,Portugal,Praia de Mira,Khaki,TRUE,12/03/2010,72059.13,48748.11,0.13,152.3,5
Toyota,Avalon,Female,67,Slovenia,Ljubno ob Savinji,Pink,FALSE,22/05/2019,64017.87,9973.83,0.06,222.3,10.2
Toyota,RAV4,Female,33,Thailand,Thap Khlo,Khaki,FALSE,05/11/2011,41170.43,43218.89,0.02,221.1,11.1
Lincoln,Continental Mark VII,Male,70,China,Chadian,Violet,FALSE,24/04/2016,43944.01,49958.92,0.04,165.4,2.6
Ford,Aspire,Female,38,Philippines,San Juan,Goldenrod,FALSE,21/09/2010,63737.87,11009.2,0.03,151.3,8.2
Chevrolet,1500,Female,25,Philippines,Tubigan,Khaki,FALSE,20/03/2002,49909.44,2000.84,0.25,239.6,11.2
Suzuki,Swift,Male,56,Thailand,Phak Hai,Orange,FALSE,22/10/2014,48575.9,18682.76,0.06,237.9,2.9
Mitsubishi,Expo,Male,57,United States,Fort Smith,Mauv,TRUE,25/09/2015,40907.62,29775.55,0.01,221.1,5.5
BMW,5 Series,Female,28,Vietnam,Thị Trấn Nước Hai,Turquoise,TRUE,04/06/2003,49907.69,32822.29,0.05,144.9,5.6
Saturn,VUE,Female,20,Indonesia,Masape,Puce,TRUE,06/03/2003,33310.37,21517.7,0.23,214.9,8.5
Audi,Cabriolet,Female,73,China,Qinghe,Indigo,TRUE,28/12/2013,13968.65,18483.43,0.06,248.7,8.8
Dodge,Neon,Female,56,Madagascar,Andovoranto,Goldenrod,TRUE,24/07/2003,77818.1,3670.41,0.17,161.9,13.7
Chevrolet,3500,Female,30,Indonesia,Weru,Aquamarine,TRUE,26/11/2005,45110.09,38986.16,0.05,147.9,5
Pontiac,Bonneville,Male,64,China,Gaojialing,Violet,FALSE,16/05/2012,95578.64,35509.01,0.12,207.8,12.8
Subaru,Impreza WRX,Male,33,Greece,Agía Varvára,Blue,TRUE,18/10/2004,66723.1,42335.42,0.22,132.3,14.9
Hyundai,Accent,Male,73,Indonesia,Kuwumkumambal,Purple,FALSE,22/05/2013,28979.84,35159.94,0.03,242.4,7.8
Saturn,Outlook,Male,31,Slovenia,Velenje,Green,TRUE,15/11/2017,43843.34,42989.9,0.18,122.1,14.6
Audi,5000S,Male,44,China,Tianyuan,Red,FALSE,28/09/2018,70606.62,17116.23,0.09,125.7,9.4
Ford,Ranger,Male,70,Russia,Chastyye,Puce,TRUE,24/09/2011,62034.33,37348.67,0.16,138.9,7.4
Kia,Sportage,Male,57,Philippines,Bangui,Blue,TRUE,09/03/2010,96510.33,26280.04,0.08,176.8,12.3
Audi,A4,Female,39,China,Guandu,Teal,TRUE,15/03/2015,75919.38,38227.07,0.24,123.3,8.1
Kia,Rondo,Male,67,China,Libei,Fuscia,FALSE,15/06/2012,62077.25,7715.6,0.09,166,14.7
Mitsubishi,Lancer,Male,67,Indonesia,Cibaregbeg Dua,Fuscia,TRUE,07/10/2009,73519.85,47615.6,0.2,122.1,3.9
Nissan,Pathfinder,Female,68,Greece,Mesopotamía,Mauv,TRUE,13/11/2009,37553.93,8001.46,0.04,194,8.4
Toyota,Celica,Female,68,Portugal,Veiros,Goldenrod,TRUE,18/12/2002,40782.73,41762.65,0.09,137.1,3.7
Mazda,B-Series,Male,73,Indonesia,Sumberpinang Satu,Khaki,FALSE,28/02/2013,69884.37,40432.61,0.23,211.8,6.9
Buick,Roadmaster,Male,74,Germany,Aachen,Green,TRUE,27/12/2018,15256.87,46523.89,0.22,231.6,14.2
Lincoln,Navigator,Male,68,Philippines,Puerto Galera,Violet,TRUE,18/11/2009,98448.91,35793.35,0.21,184.7,12.3
Chevrolet,Silverado,Male,73,Portugal,Maia,Puce,FALSE,16/12/2012,69753.22,7705.84,0.05,121,2.1
Ford,Taurus,Female,48,Moldova,Ungheni,Violet,FALSE,05/05/2009,18357.69,7798.37,0.14,145.2,2.2
Kia,Soul,Male,53,Botswana,Mathakola,Turquoise,FALSE,28/07/2006,50128.53,5811.33,0.21,221.1,13.8
Bentley,Continental GT,Female,49,France,Évry,Khaki,TRUE,02/02/2018,51968.35,32034.8,0.06,122.4,2.1
BMW,M5,Female,41,France,Créteil,Mauv,FALSE,26/03/2016,16124.34,27157,0.15,215.2,11.6
Land Rover,Range Rover,Female,35,Argentina,Anguil,Aquamarine,FALSE,17/01/2010,28352.21,18764.15,0.13,216.9,8.5
Mazda,Mazdaspeed 3,Male,35,Dominican Republic,Moca,Orange,TRUE,10/07/2020,39186.35,5492.42,0.03,219.7,10.9
Chrysler,Town & Country,Female,42,Cambodia,Kratié,Goldenrod,TRUE,15/01/2013,44502.71,21674.89,0.18,178.3,13.6
Saab,9000,Male,26,Brazil,Padre Bernardo,Orange,TRUE,20/02/2008,70346.75,32279.3,0.11,209.5,7.7
Nissan,Rogue,Male,42,Peru,San Bernardino,Purple,FALSE,07/06/2003,38526.11,34289.47,0.25,217.9,11.7
Ford,E250,Female,21,China,Shiyaogou,Maroon,TRUE,24/11/2010,43290.82,25865.62,0.05,207.2,2
GMC,Sonoma,Male,62,China,Dongli,Indigo,FALSE,15/01/2002,39157.75,4765.46,0.2,156.3,7
Chevrolet,Caprice Classic,Female,37,China,Xindu,Fuscia,TRUE,17/02/2004,99676.36,34404.47,0.19,192.8,3
Chevrolet,Cobalt,Female,35,Indonesia,Jelat,Aquamarine,FALSE,07/08/2018,23000.41,29527.85,0.19,225.4,4.9
Bentley,Continental Super,Female,51,Canada,New-Richmond,Pink,FALSE,22/07/2003,18363.39,45809.85,0.03,173.2,3.3
Chevrolet,Cobalt SS,Female,61,Indonesia,Tanjungsari Barat,Violet,FALSE,31/08/2010,94920.42,46690.66,0.21,192.1,5.4
Ford,F-Series,Male,37,Czech Republic,Železný Brod,Khaki,FALSE,07/10/2014,86314.11,29144.38,0.07,168.6,5.3
Porsche,968,Female,42,China,Changxi,Puce,FALSE,25/01/2007,76328.03,26027.58,0.24,149.9,13.1
Dodge,Avenger,Female,75,China,Mugala,Turquoise,TRUE,23/01/2010,60746.73,28044.98,0.25,164.7,11.4
Mercedes-Benz,SL-Class,Female,51,Russia,Poputnaya,Pink,FALSE,26/03/2020,95277.14,39619.3,0.09,220.4,14.8
Mitsubishi,Mighty Max Macro,Female,35,Germany,Berlin,Teal,FALSE,16/03/2013,97715.32,6842.86,0.16,247.4,11.5
Kia,Sorento,Female,65,Russia,Yasnyy,Purple,FALSE,14/02/2016,75015.01,9812.19,0.21,147.6,9
BMW,3 Series,Female,62,Pakistan,Jalālpur,Teal,FALSE,13/09/2018,11081.85,2705.45,0.21,186.5,6.4
Chevrolet,Cobalt SS,Male,63,Poland,Włoszakowice,Maroon,FALSE,29/12/2005,21976.98,40394.61,0.15,162.2,9.4
Dodge,Colt,Male,52,Poland,Brusy,Blue,TRUE,28/12/2015,69726.64,14792.11,0.22,152.7,3.4
Dodge,Stratus,Male,58,France,Carpiquet,Purple,TRUE,07/03/2002,69715.05,24512.6,0.04,179.4,12.5
Pontiac,Grand Am,Male,51,Uruguay,La Paz,Indigo,TRUE,03/06/2007,97365.32,17120.42,0.12,147.4,2.6
BMW,5 Series,Female,34,Russia,Zelenodolsk,Yellow,FALSE,03/08/2009,44007.85,11330.34,0.16,240.4,10.8
Dodge,Ram Van 1500,Female,64,Philippines,Kumalarang,Indigo,FALSE,26/01/2005,89395.34,44129.67,0.16,159.7,6.7
Hyundai,Elantra,Male,70,Thailand,Sathon,Aquamarine,TRUE,30/11/2011,68550.3,38057.62,0.2,123.2,8.9
Ford,Fusion,Female,49,Indonesia,Pomahan,Indigo,TRUE,28/03/2004,17281.51,26440.76,0.24,234.3,6.7
Chevrolet,Corvair 500,Female,52,Sweden,Tullinge,Yellow,FALSE,01/04/2006,12457.66,6072.49,0.2,232.6,2.3
Pontiac,Solstice,Male,71,Honduras,Valle de Ángeles,Turquoise,FALSE,07/12/2009,86422.34,40703.23,0.07,134.4,4.7
Nissan,Titan,Female,51,Poland,Nowogard,Fuscia,FALSE,12/02/2019,79471.61,47119.06,0.03,217.5,6.7
Honda,Fit,Female,32,Russia,Novaya Lyalya,Yellow,TRUE,20/11/2011,71816.69,17458.87,0.1,188.8,14.2
Toyota,Tacoma Xtra,Male,29,Nigeria,Yuli,Orange,FALSE,29/07/2012,47979.17,4664.02,0.19,249.7,12.2
Volvo,S80,Female,66,Philippines,Novallas,Maroon,FALSE,01/12/2008,85468.34,22565.83,0.19,125.8,13.8
Audi,200,Female,52,Argentina,Tandil,Violet,TRUE,25/10/2002,93344.01,23118.51,0.04,212.1,8.9
BMW,Z8,Male,58,Indonesia,Mekon,Pink,FALSE,18/08/2019,21136.97,38038.58,0.2,185.8,6
Ford,Mustang,Male,29,United States,Portland,Khaki,FALSE,19/04/2002,65994.98,35257.4,0.06,215,12
Chevrolet,Sportvan G20,Male,55,Tanzania,Makumbako,Turquoise,FALSE,17/02/2017,35214.62,30542.61,0.2,172.1,14.7
Pontiac,Grand Prix,Male,28,Russia,Klimovsk,Blue,FALSE,15/03/2011,33552.47,27945.93,0.15,218.7,4.7
Nissan,Quest,Female,61,Russia,Tunoshna,Violet,TRUE,01/02/2012,22318.02,43708.23,0.09,203.5,8.6
GMC,Sierra 2500,Male,64,China,Pengdian,Blue,FALSE,19/06/2005,86638.86,49984.39,0.02,177.1,11.6
Lincoln,Continental,Female,23,China,Zhongshangang,Purple,TRUE,09/12/2010,12930.46,30894.49,0.14,152.8,6.8
Ford,Thunderbird,Female,52,Thailand,Chaiyaphum,Red,FALSE,25/06/2009,22456.58,36016.47,0.08,245.7,9.7
Dodge,Ram,Male,30,China,Lushuihe,Puce,FALSE,20/06/2020,77904.79,7662.45,0.07,139,2.4
BMW,X5,Female,45,Peru,Pueblo Nuevo,Pink,FALSE,06/12/2018,32668.06,45915.04,0.14,206,4.2
Mercedes-Benz,S-Class,Female,71,Thailand,Bang Na,Red,FALSE,09/02/2002,18574.71,38755.79,0.25,214.3,6.7
Kia,Sephia,Female,62,France,Toulouse,Aquamarine,TRUE,23/06/2007,92897.1,20297.58,0.11,200.6,8.7
GMC,Canyon,Female,75,China,Xincheng,Turquoise,FALSE,15/12/2004,30888.75,41227.35,0.05,210.8,7.7
BMW,6 Series,Male,72,Venezuela,Aguasay,Teal,TRUE,21/10/2017,66048.72,28915.38,0.03,180.1,13.2
BMW,X3,Female,23,China,Liji,Crimson,TRUE,27/03/2020,30725.37,7063.32,0.02,228,6
Land Rover,Range Rover,Male,34,Indonesia,Parakanpanjang,Pink,FALSE,25/09/2018,73004.13,10041.86,0.13,156.8,10.7
Dodge,Ram Van 1500,Female,55,Peru,Santa Rosa,Indigo,FALSE,01/04/2018,34141.35,20148.75,0.19,159.7,4.2
BMW,M6,Female,36,Vietnam,Bến Tre,Yellow,FALSE,19/12/2007,34961.89,30192.98,0.17,168.1,6.8
Mitsubishi,Galant,Male,33,Indonesia,Umpak,Green,FALSE,14/11/2006,50108.47,7548.31,0.25,157.8,12.9
GMC,Safari,Male,65,Brazil,Juazeiro do Norte,Indigo,FALSE,10/10/2005,81303.1,8022.65,0.03,196.3,4.2
Chevrolet,Equinox,Male,24,Czech Republic,Studená,Indigo,FALSE,30/08/2012,26160.42,43752.53,0.09,222.2,3.8
Hyundai,Sonata,Female,41,American Samoa,Tāfuna,Aquamarine,FALSE,27/01/2005,91982.88,14727.61,0.18,215.1,5.6
Honda,Accord,Female,57,China,Zhaogezhuang,Crimson,FALSE,17/02/2013,67652.89,9629.49,0.25,126.2,12.8
Lincoln,Town Car,Male,54,Estonia,Tabivere,Blue,FALSE,19/06/2009,87343.14,42750.08,0.15,244.1,7
